,Restaurant_Name,Restaurant_Category,Rating,price_for_2
67,Berco's,"Chinese, Thai, Asian, Beverages, Desserts, Oriental, Seafood, Pan-Asian",4.0,₹600 FOR TWO
68,Bagundi Andhra Kitchen,"Andhra, Biryani, South Indian, Thalis, Seafood",4.4,₹800 FOR TWO
69,Nirula's,"Desserts, Pizzas, Fast Food, American, Beverages, Italian",4.1,₹300 FOR TWO
70,Fryeo,Fast Food,4.0,₹250 FOR TWO
71,Tewari Bros Confectioners,"Street Food, North Indian, South Indian, Sweets",4.0,₹200 FOR TWO
72,Nazeer Foods,"North Indian, Biryani, Mughlai, Snacks",4.2,₹400 FOR TWO
73,Cream Stone,"Ice Cream, Desserts, Beverages",4.3,₹200 FOR TWO
74,Made In Punjab,"North Indian, Tandoor, Punjabi",4.0,₹600 FOR TWO
75,Bhape Da Hotel,North Indian,4.2,₹850 FOR TWO
76,Lazeez Affaire,"Indian, Chinese, North Indian, Tandoor, Mughlai, Desserts",4.3,₹1300 FOR TWO
77,Bistro 57,Beverages,4.2,₹300 FOR TWO
78,Delhi Darbar Dhaba,"North Indian, Chinese",4.1,₹400 FOR TWO
79,Gola Sizzlers,"Chinese, Indian, Seafood",4.1,₹700 FOR TWO
80,Zaffran,North Indian,4.1,₹1700 FOR TWO
81,Embassy,"North Indian, Continental",4.3,₹1400 FOR TWO
82,Snug Cafe & Restaurant,"Indian, Chinese, Beverages",4.2,₹300 FOR TWO
83,Tummyyard Cafe,"Continental, Indian",4.6,₹250 FOR TWO
84,Bikkgane Biryani,"North Indian, Hyderabadi, Biryani, Andhra, South Indian, Mughlai",4.1,₹400 FOR TWO
85,Hira Sweets,"North Indian, South Indian, Chinese, Fast Food, Sweets",4.1,₹600 FOR TWO
86,Delhi Darbar,"North Indian, Chinese",4.1,₹200 FOR TWO
87,Nizam's Kathi Kabab,"Fast Food, Mughlai, Kebabs",4.1,₹500 FOR TWO
88,BurGrub,"American, Fast Food, Snacks, Beverages",4.3,₹350 FOR TWO
